candidate,low_domains,low_severity,high_severity,tp,fp,gained_true,lost_true,new_false
low_d2_s0.60__high_d2_s0.50,2,0.6,0.5,6743,8,281,0,8
low_d2_s0.60__high_d2_s0.55,2,0.6,0.55,6743,8,281,0,8
low_d2_s0.65__high_d2_s0.50,2,0.65,0.5,6721,0,259,0,0
low_d2_s0.65__high_d2_s0.55,2,0.65,0.55,6721,0,259,0,0
low_d2_s0.65__high_d2_s0.60,2,0.65,0.6,6721,0,259,0,0
low_d2_s0.70__high_d2_s0.50,2,0.7,0.5,6683,0,221,0,0
low_d2_s0.70__high_d2_s0.55,2,0.7,0.55,6683,0,221,0,0
low_d2_s0.70__high_d2_s0.60,2,0.7,0.6,6683,0,221,0,0
low_d2_s0.70__high_d2_s0.65,2,0.7,0.65,6683,0,221,0,0
low_d2_s0.75__high_d2_s0.50,2,0.75,0.5,6627,0,165,0,0
low_d2_s0.75__high_d2_s0.55,2,0.75,0.55,6627,0,165,0,0
low_d2_s0.75__high_d2_s0.60,2,0.75,0.6,6627,0,165,0,0
low_d2_s0.75__high_d2_s0.65,2,0.75,0.65,6627,0,165,0,0
low_d2_s0.75__high_d2_s0.70,2,0.75,0.7,6627,0,165,0,0
low_d2_s0.80__high_d2_s0.50,2,0.8,0.5,6623,0,161,0,0
low_d2_s0.80__high_d2_s0.55,2,0.8,0.55,6623,0,161,0,0
low_d2_s0.80__high_d2_s0.60,2,0.8,0.6,6623,0,161,0,0
low_d2_s0.80__high_d2_s0.65,2,0.8,0.65,6623,0,161,0,0
low_d2_s0.80__high_d2_s0.70,2,0.8,0.7,6623,0,161,0,0
low_d2_s0.80__high_d2_s0.75,2,0.8,0.75,6608,0,146,0,0
low_d3_s0.60__high_d2_s0.50,3,0.6,0.5,6629,0,167,0,0
low_d3_s0.60__high_d2_s0.55,3,0.6,0.55,6629,0,167,0,0
low_d3_s0.60__high_d2_s0.60,3,0.6,0.6,6629,0,167,0,0
low_d3_s0.65__high_d2_s0.50,3,0.65,0.5,6629,0,167,0,0
low_d3_s0.65__high_d2_s0.55,3,0.65,0.55,6629,0,167,0,0
low_d3_s0.65__high_d2_s0.60,3,0.65,0.6,6629,0,167,0,0
low_d3_s0.65__high_d2_s0.65,3,0.65,0.65,6629,0,167,0,0
low_d3_s0.70__high_d2_s0.50,3,0.7,0.5,6628,0,166,0,0
low_d3_s0.70__high_d2_s0.55,3,0.7,0.55,6628,0,166,0,0
low_d3_s0.70__high_d2_s0.60,3,0.7,0.6,6628,0,166,0,0
low_d3_s0.70__high_d2_s0.65,3,0.7,0.65,6628,0,166,0,0
low_d3_s0.70__high_d2_s0.70,3,0.7,0.7,6628,0,166,0,0
low_d3_s0.75__high_d2_s0.50,3,0.75,0.5,6623,0,161,0,0
low_d3_s0.75__high_d2_s0.55,3,0.75,0.55,6623,0,161,0,0
low_d3_s0.75__high_d2_s0.60,3,0.75,0.6,6623,0,161,0,0
low_d3_s0.75__high_d2_s0.65,3,0.75,0.65,6623,0,161,0,0
low_d3_s0.75__high_d2_s0.70,3,0.75,0.7,6623,0,161,0,0
low_d3_s0.75__high_d2_s0.75,3,0.75,0.75,6608,0,146,0,0
low_d3_s0.80__high_d2_s0.50,3,0.8,0.5,6623,0,161,0,0
low_d3_s0.80__high_d2_s0.55,3,0.8,0.55,6623,0,161,0,0
low_d3_s0.80__high_d2_s0.60,3,0.8,0.6,6623,0,161,0,0
low_d3_s0.80__high_d2_s0.65,3,0.8,0.65,6623,0,161,0,0
low_d3_s0.80__high_d2_s0.70,3,0.8,0.7,6623,0,161,0,0
low_d3_s0.80__high_d2_s0.75,3,0.8,0.75,6608,0,146,0,0
low_d3_s0.80__high_d2_s0.80,3,0.8,0.8,6462,0,0,0,0
