dataset,positive,negative,old_tp,new_tp,fp,gain,loss,descriptive_wilson_upper
Cerebellum/Marmoset2,1059,1059,707,709,0,2,0,0.003614461458791225
Drosophila/07.62h_E8-10h_b_new_final_modified,1042,1042,711,733,0,22,0,0.0036732139934001476
Drosophila/16.57h_E16-18h_a_new_final_modified,1051,1051,659,669,0,10,0,0.003641873813091937
Drosophila/L1-early_b_cellbin_final_modified,1059,1059,728,735,0,7,0,0.003614461458791225
Drosophila/L3_b_count_normal_stereoseq,1045,1045,634,639,0,5,0,0.0036627075051180267
Drosophila/PUPA-60h_cellbin_final_modified,1048,1048,652,687,0,35,0,0.003652260948796853
Planarian/3dpa1.sc,1044,1044,608,657,0,49,0,0.0036662029833516817
Planarian/3dpa2.sc,1051,1051,615,655,0,40,0,0.003641873813091937
Planarian/5dpa1.sc,1046,1046,651,689,0,38,0,0.0036592186859427172
Planarian/5dpa2.sc,1045,1045,646,676,0,30,0,0.0036627075051180267
